tid,topicId,replies,favorite,support,historyPV,yesterdayPV/yesterdayUV,yesterdayUV,dateline
12119270,7,31,,1,1420,1,1,8305576
11969438,1,4,0,0,691,1,1,17938956
11880344,7,29,0,2,7495,1,1,23890138
12144298,7,22,,1,1190,1,1,7270366
11891619,,4,0,0,1219,1,1,23267186
11909819,7,5,0,0,592,1,1,21949000
12016992,23,20,0,0,3913,1,1,13911055
12104066,23,6,0,0,986,1,1,9066705
12366363,1,1,0,0,195,1,2,259746
11942093,10,65,,3,9353,1,1,19952725
12275648,7,357,,1,12663,1,1,3048654
12298816,2,2,,0,233,1,1,2085377
12275273,7,45,,1,3571,1,1,3085522
12074432,23,2,0,0,663,1,1,10345853
11966427,7,29,0,0,4203,1,1,18201769
11858418,7,16,,1,3270,1,1,24890242
12282024,7,18,,1,1201,1,1,2776664
12292338,2,44,,2,2256,1,1,2340245
11841019,30,9,0,0,644,1,1,26709044
11780178,7,5,0,0,227,1,1,30685597
12365596,2,10,0,0,324,1,1,332061
12330579,2,15,,0,930,1,1,1142788
12359379,1,15,0,0,794,1,1,609689
11770270,18,13,0,0,5401,1,1,31411920
11865502,2,20,0,0,2521,1,1,24506005
11894488,23,2,0,0,326,1,1,23048795
11775373,16,4,0,0,381,1,1,30852839
11770769,23,1,0,0,541,1,1,31347732
11810162,,0,0,0,11,1,1,29075367
11983885,2,23,0,0,1806,1,1,16730618
11949589,1,29,,0,3494,1,1,19503596
11909365,4,8,0,0,446,1,1,21972322
12040750,2,8,,0,1129,1,1,11720205
11934095,2,12,0,0,1147,1,1,20389324
12170988,7,13,0,0,1590,1,1,6189484
11914694,2,12,0,0,2157,1,1,21608772
12234491,23,9,,0,997,2,1,3957104
11945835,2,8,0,0,989,1,1,19716501
12182976,7,2,0,0,233,1,1,5611609
11917688,2,3,0,1,281,1,1,21401258
12363415,30,18,0,0,394,2,1,483139
12056643,4,19,,0,1043,1,1,10869803
12153835,23,5,,0,888,1,1,6790116
12136281,7,42,,0,5097,1,1,7656067
12171390,7,1,0,0,252,1,1,6148771
11928668,6,56,,2,7962,1,1,20707306
11940022,7,0,0,0,3,1,1,20050215
12366196,12,0,0,0,22,1,1,271582
12318093,10,6,0,0,593,1,1,1291208
12119430,2,38,0,0,3347,1,1,8298420
12305824,4,3,0,0,262,1,1,1880795
12281026,7,17,,0,704,1,1,2824862
12140879,4,11,,1,788,1,1,7446834
12280455,30,4,,0,399,1.5,2,2840895
11881736,2,13,0,0,1344,1,1,23833249
12127737,2,182,,0,7158,1,1,8008711
11858331,2,3,0,0,2349,1,1,24892664
12066264,7,2,0,0,286,1,1,10606080
12365978,10,1,0,0,38,1,1,300063
11881984,2,5,,1,10158,1,1,23824222
11863816,7,14,0,0,966,1,1,24610901
12190811,23,4,0,0,509,1,1,5186509
12351879,30,7,,0,499,1,1,752917
11927066,23,0,0,1,427,1,1,20760791
11857545,7,10,0,0,4010,1,1,24914661
12111384,7,31,,0,910,1,1,8712356
12361721,7,4,0,0,442,1,1,523127
11973986,2,4,0,0,897,1,1,17600195
12149562,7,16,,1,2357,1,1,6983322
12028280,2,1,0,0,522,1,1,12840976
